time,station,debit
2009-01-01,LA GARONNE A SAINT-AIGNAN [TRES CASSES],116.76275
2009-01-02,LA GARONNE A SAINT-AIGNAN [TRES CASSES],133.07738
2009-01-03,LA GARONNE A SAINT-AIGNAN [TRES CASSES],166.55461
2009-01-04,LA GARONNE A SAINT-AIGNAN [TRES CASSES],251.71736
2009-01-05,LA GARONNE A SAINT-AIGNAN [TRES CASSES],329.557
2009-01-06,LA GARONNE A SAINT-AIGNAN [TRES CASSES],353.08173
2009-01-07,LA GARONNE A SAINT-AIGNAN [TRES CASSES],329.89322
2009-01-08,LA GARONNE A SAINT-AIGNAN [TRES CASSES],293.95328
2009-01-09,LA GARONNE A SAINT-AIGNAN [TRES CASSES],267.3166
2009-01-10,LA GARONNE A SAINT-AIGNAN [TRES CASSES],251.80893
2009-01-11,LA GARONNE A SAINT-AIGNAN [TRES CASSES],235.68127
2009-01-12,LA GARONNE A SAINT-AIGNAN [TRES CASSES],209.45023
2009-01-13,LA GARONNE A SAINT-AIGNAN [TRES CASSES],175.24902
2009-01-14,LA GARONNE A SAINT-AIGNAN [TRES CASSES],153.50858
2009-01-15,LA GARONNE A SAINT-AIGNAN [TRES CASSES],133.13487
2009-01-16,LA GARONNE A SAINT-AIGNAN [TRES CASSES],114.45342
2009-01-17,LA GARONNE A SAINT-AIGNAN [TRES CASSES],104.91476
2009-01-18,LA GARONNE A SAINT-AIGNAN [TRES CASSES],96.58859
2009-01-19,LA GARONNE A SAINT-AIGNAN [TRES CASSES],86.22742
2009-01-20,LA GARONNE A SAINT-AIGNAN [TRES CASSES],77.020485
2009-01-21,LA GARONNE A SAINT-AIGNAN [TRES CASSES],69.40314
2009-01-22,LA GARONNE A SAINT-AIGNAN [TRES CASSES],81.91481
2009-01-23,LA GARONNE A SAINT-AIGNAN [TRES CASSES],93.5718
2009-01-24,LA GARONNE A SAINT-AIGNAN [TRES CASSES],111.73268
2009-01-25,LA GARONNE A SAINT-AIGNAN [TRES CASSES],165.08803
2009-01-26,LA GARONNE A SAINT-AIGNAN [TRES CASSES],193.90526
2009-01-27,LA GARONNE A SAINT-AIGNAN [TRES CASSES],238.81458
2009-01-28,LA GARONNE A SAINT-AIGNAN [TRES CASSES],274.47903
2009-01-29,LA GARONNE A SAINT-AIGNAN [TRES CASSES],445.0359
2009-01-30,LA GARONNE A SAINT-AIGNAN [TRES CASSES],602.5433
2009-01-31,LA GARONNE A SAINT-AIGNAN [TRES CASSES],623.098
2009-02-01,LA GARONNE A SAINT-AIGNAN [TRES CASSES],532.9393
2009-02-02,LA GARONNE A SAINT-AIGNAN [TRES CASSES],421.01294
2009-02-03,LA GARONNE A SAINT-AIGNAN [TRES CASSES],328.88763
2009-02-04,LA GARONNE A SAINT-AIGNAN [TRES CASSES],306.4972
2009-02-05,LA GARONNE A SAINT-AIGNAN [TRES CASSES],514.7611
2009-02-06,LA GARONNE A SAINT-AIGNAN [TRES CASSES],693.59235
2009-02-07,LA GARONNE A SAINT-AIGNAN [TRES CASSES],703.09
2009-02-08,LA GARONNE A SAINT-AIGNAN [TRES CASSES],598.0937
2009-02-09,LA GARONNE A SAINT-AIGNAN [TRES CASSES],495.2622
2009-02-10,LA GARONNE A SAINT-AIGNAN [TRES CASSES],426.9602
2009-02-11,LA GARONNE A SAINT-AIGNAN [TRES CASSES],398.30225
2009-02-12,LA GARONNE A SAINT-AIGNAN [TRES CASSES],376.02322
2009-02-13,LA GARONNE A SAINT-AIGNAN [TRES CASSES],361.24994
2009-02-14,LA GARONNE A SAINT-AIGNAN [TRES CASSES],318.56577
2009-02-15,LA GARONNE A SAINT-AIGNAN [TRES CASSES],326.2018
2009-02-16,LA GARONNE A SAINT-AIGNAN [TRES CASSES],340.86932
2009-02-17,LA GARONNE A SAINT-AIGNAN [TRES CASSES],330.69577
2009-02-18,LA GARONNE A SAINT-AIGNAN [TRES CASSES],311.6431
2009-02-19,LA GARONNE A SAINT-AIGNAN [TRES CASSES],304.6087
2009-02-20,LA GARONNE A SAINT-AIGNAN [TRES CASSES],311.66217
2009-02-21,LA GARONNE A SAINT-AIGNAN [TRES CASSES],309.78998
2009-02-22,LA GARONNE A SAINT-AIGNAN [TRES CASSES],298.66278
2009-02-23,LA GARONNE A SAINT-AIGNAN [TRES CASSES],287.9412
2009-02-24,LA GARONNE A SAINT-AIGNAN [TRES CASSES],300.67383
2009-02-25,LA GARONNE A SAINT-AIGNAN [TRES CASSES],310.64996
2009-02-26,LA GARONNE A SAINT-AIGNAN [TRES CASSES],303.83142
2009-02-27,LA GARONNE A SAINT-AIGNAN [TRES CASSES],281.3197
2009-02-28,LA GARONNE A SAINT-AIGNAN [TRES CASSES],262.8745
2009-03-01,LA GARONNE A SAINT-AIGNAN [TRES CASSES],241.85701
2009-03-02,LA GARONNE A SAINT-AIGNAN [TRES CASSES],227.10657
2009-03-03,LA GARONNE A SAINT-AIGNAN [TRES CASSES],219.59668
2009-03-04,LA GARONNE A SAINT-AIGNAN [TRES CASSES],214.98898
2009-03-05,LA GARONNE A SAINT-AIGNAN [TRES CASSES],205.03857
2009-03-06,LA GARONNE A SAINT-AIGNAN [TRES CASSES],184.97284
2009-03-07,LA GARONNE A SAINT-AIGNAN [TRES CASSES],173.49382
2009-03-08,LA GARONNE A SAINT-AIGNAN [TRES CASSES],174.26581
2009-03-09,LA GARONNE A SAINT-AIGNAN [TRES CASSES],175.49445
2009-03-10,LA GARONNE A SAINT-AIGNAN [TRES CASSES],167.06494
2009-03-11,LA GARONNE A SAINT-AIGNAN [TRES CASSES],153.07141
2009-03-12,LA GARONNE A SAINT-AIGNAN [TRES CASSES],134.50317
2009-03-13,LA GARONNE A SAINT-AIGNAN [TRES CASSES],132.07515
2009-03-14,LA GARONNE A SAINT-AIGNAN [TRES CASSES],161.42317
2009-03-15,LA GARONNE A SAINT-AIGNAN [TRES CASSES],188.55185
2009-03-16,LA GARONNE A SAINT-AIGNAN [TRES CASSES],189.9857
2009-03-17,LA GARONNE A SAINT-AIGNAN [TRES CASSES],170.77751
2009-03-18,LA GARONNE A SAINT-AIGNAN [TRES CASSES],144.97568
2009-03-19,LA GARONNE A SAINT-AIGNAN [TRES CASSES],122.69708
2009-03-20,LA GARONNE A SAINT-AIGNAN [TRES CASSES],111.41077
2009-03-21,LA GARONNE A SAINT-AIGNAN [TRES CASSES],115.39628
2009-03-22,LA GARONNE A SAINT-AIGNAN [TRES CASSES],151.54388
2009-03-23,LA GARONNE A SAINT-AIGNAN [TRES CASSES],189.10829
2009-03-24,LA GARONNE A SAINT-AIGNAN [TRES CASSES],204.29662
2009-03-25,LA GARONNE A SAINT-AIGNAN [TRES CASSES],195.88606
2009-03-26,LA GARONNE A SAINT-AIGNAN [TRES CASSES],175.58926
2009-03-27,LA GARONNE A SAINT-AIGNAN [TRES CASSES],154.15129
2009-03-28,LA GARONNE A SAINT-AIGNAN [TRES CASSES],136.91951
2009-03-29,LA GARONNE A SAINT-AIGNAN [TRES CASSES],124.0265
2009-03-30,LA GARONNE A SAINT-AIGNAN [TRES CASSES],114.72894
2009-03-31,LA GARONNE A SAINT-AIGNAN [TRES CASSES],109.326836
2009-04-01,LA GARONNE A SAINT-AIGNAN [TRES CASSES],114.89193
2009-04-02,LA GARONNE A SAINT-AIGNAN [TRES CASSES],120.44099
2009-04-03,LA GARONNE A SAINT-AIGNAN [TRES CASSES],116.32481
2009-04-04,LA GARONNE A SAINT-AIGNAN [TRES CASSES],104.169304
2009-04-05,LA GARONNE A SAINT-AIGNAN [TRES CASSES],92.82135
2009-04-06,LA GARONNE A SAINT-AIGNAN [TRES CASSES],85.70796
2009-04-07,LA GARONNE A SAINT-AIGNAN [TRES CASSES],83.32079
2009-04-08,LA GARONNE A SAINT-AIGNAN [TRES CASSES],85.466446
2009-04-09,LA GARONNE A SAINT-AIGNAN [TRES CASSES],93.86306
2009-04-10,LA GARONNE A SAINT-AIGNAN [TRES CASSES],109.835495
2009-04-11,LA GARONNE A SAINT-AIGNAN [TRES CASSES],134.46976
2009-04-12,LA GARONNE A SAINT-AIGNAN [TRES CASSES],209.4888
2009-04-13,LA GARONNE A SAINT-AIGNAN [TRES CASSES],298.404
2009-04-14,LA GARONNE A SAINT-AIGNAN [TRES CASSES],334.9331
2009-04-15,LA GARONNE A SAINT-AIGNAN [TRES CASSES],308.31708
2009-04-16,LA GARONNE A SAINT-AIGNAN [TRES CASSES],285.40573
2009-04-17,LA GARONNE A SAINT-AIGNAN [TRES CASSES],275.8377
2009-04-18,LA GARONNE A SAINT-AIGNAN [TRES CASSES],266.2316
2009-04-19,LA GARONNE A SAINT-AIGNAN [TRES CASSES],247.18376
2009-04-20,LA GARONNE A SAINT-AIGNAN [TRES CASSES],215.28091
2009-04-21,LA GARONNE A SAINT-AIGNAN [TRES CASSES],185.94214
2009-04-22,LA GARONNE A SAINT-AIGNAN [TRES CASSES],161.90788
2009-04-23,LA GARONNE A SAINT-AIGNAN [TRES CASSES],140.28482
2009-04-24,LA GARONNE A SAINT-AIGNAN [TRES CASSES],121.11726
2009-04-25,LA GARONNE A SAINT-AIGNAN [TRES CASSES],108.51043
2009-04-26,LA GARONNE A SAINT-AIGNAN [TRES CASSES],112.145424
2009-04-27,LA GARONNE A SAINT-AIGNAN [TRES CASSES],140.50359
2009-04-28,LA GARONNE A SAINT-AIGNAN [TRES CASSES],171.95682
2009-04-29,LA GARONNE A SAINT-AIGNAN [TRES CASSES],186.75461
2009-04-30,LA GARONNE A SAINT-AIGNAN [TRES CASSES],183.50421
2009-05-01,LA GARONNE A SAINT-AIGNAN [TRES CASSES],176.85101
2009-05-02,LA GARONNE A SAINT-AIGNAN [TRES CASSES],220.68094
2009-05-03,LA GARONNE A SAINT-AIGNAN [TRES CASSES],300.28735
2009-05-04,LA GARONNE A SAINT-AIGNAN [TRES CASSES],347.71982
