time,code_station,libelle_station,tas
2009-01-01,5081000,La Garonne à Couthures,8.578670727756654
2009-01-01,5152000,La Garonne à St-Aignan,8.280520607711443
2009-01-01,6077500,RHONE A BREGNIER-CORDON 3,0.5516791055316418
2009-01-01,6104000,RHONE A ST-VALLIER ,0.9655107189940789
2009-01-01,6113500,RHONE A PIERRELATTE ,5.753547876576577
2009-01-02,5081000,La Garonne à Couthures,5.152144982509506
2009-01-02,5152000,La Garonne à St-Aignan,8.361287433333333
2009-01-02,6077500,RHONE A BREGNIER-CORDON 3,-1.3352280326701491
2009-01-02,6104000,RHONE A ST-VALLIER ,-0.026343093736842106
2009-01-02,6113500,RHONE A PIERRELATTE ,3.290084424144144
2009-01-03,5081000,La Garonne à Couthures,0.701988191973384
2009-01-03,5152000,La Garonne à St-Aignan,3.7473749562363183
2009-01-03,6077500,RHONE A BREGNIER-CORDON 3,-1.8380647109850747
2009-01-03,6104000,RHONE A ST-VALLIER ,0.054227728118421054
2009-01-03,6113500,RHONE A PIERRELATTE ,2.82833848963964
2009-01-04,5081000,La Garonne à Couthures,-0.49318727180380223
2009-01-04,5152000,La Garonne à St-Aignan,2.944958589569652
2009-01-04,6077500,RHONE A BREGNIER-CORDON 3,-2.8946934059701492
2009-01-04,6104000,RHONE A ST-VALLIER ,-1.0027748948157893
2009-01-04,6113500,RHONE A PIERRELATTE ,1.7780243466936938
2009-01-05,5081000,La Garonne à Couthures,2.5718735384790876
2009-01-05,5152000,La Garonne à St-Aignan,1.5000955037810946
2009-01-05,6077500,RHONE A BREGNIER-CORDON 3,-4.953322320597016
2009-01-05,6104000,RHONE A ST-VALLIER ,-3.1312946585526316
2009-01-05,6113500,RHONE A PIERRELATTE ,0.5357693514585585
2009-01-06,5081000,La Garonne à Couthures,0.1741692714714829
2009-01-06,5152000,La Garonne à St-Aignan,0.21399115535942784
2009-01-06,6077500,RHONE A BREGNIER-CORDON 3,-3.972316999701493
2009-01-06,6104000,RHONE A ST-VALLIER ,-3.074603432236842
2009-01-06,6113500,RHONE A PIERRELATTE ,0.10536028804054054
2009-01-07,5081000,La Garonne à Couthures,-3.6612578946768064
2009-01-07,5152000,La Garonne à St-Aignan,-3.622132559701493
2009-01-07,6077500,RHONE A BREGNIER-CORDON 3,-3.820978963880597
2009-01-07,6104000,RHONE A ST-VALLIER ,-3.4367649644736846
2009-01-07,6113500,RHONE A PIERRELATTE ,-1.6962768263063062
2009-01-08,5081000,La Garonne à Couthures,-3.5964886844106463
2009-01-08,5152000,La Garonne à St-Aignan,-3.5497737910447764
2009-01-08,6077500,RHONE A BREGNIER-CORDON 3,-4.084855363283582
2009-01-08,6104000,RHONE A ST-VALLIER ,-2.510892569473684
2009-01-08,6113500,RHONE A PIERRELATTE ,-0.3731811786891892
2009-01-09,5081000,La Garonne à Couthures,-1.118410178365019
2009-01-09,5152000,La Garonne à St-Aignan,-2.3540070213582087
2009-01-09,6077500,RHONE A BREGNIER-CORDON 3,-3.0026141253731344
2009-01-09,6104000,RHONE A ST-VALLIER ,-1.3805596196973684
2009-01-09,6113500,RHONE A PIERRELATTE ,1.976980813045045
2009-01-10,5081000,La Garonne à Couthures,3.8122516817490495
2009-01-10,5152000,La Garonne à St-Aignan,2.8851893771425376
